,name,year,price,kms,fuel,seller_type,transmission,owner,mileage,engine_cc,horsepower,torque,seats,cluster
39,Tata Safari DICOR 2.2 LX 4x2,2011.0,42500.0,60000.0,Diesel,Individual,Manual,Second Owner,13.0,2179.0,138.0,320Nm@ 1700-2700rpm,7.0,3
47,Toyota Fortuner 4x4 MT,2014.0,150000.0,77000.0,Diesel,Dealer,Manual,First Owner,12.0,2982.0,168.0,343Nm@ 1400-3400rpm,7.0,3
48,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013.0,70000.0,99000.0,Diesel,Dealer,Manual,First Owner,12.0,2494.0,100.0,200Nm@ 1400-3400rpm,7.0,3
51,Mitsubishi Pajero Sport 4X4,2013.0,109000.0,151000.0,Diesel,Dealer,Manual,First Owner,13.0,2477.0,175.0,400Nm@ 2000-2500rpm,7.0,3
55,Toyota Innova Crysta 2.8 ZX AT BSIV,2016.0,165000.0,127700.0,Diesel,Dealer,Automatic,Second Owner,11.0,2755.0,171.0,360Nm@ 1200-3400rpm,7.0,3
56,Toyota Innova 2.5 G (Diesel) 7 Seater,2016.0,95000.0,99000.0,Diesel,Dealer,Manual,First Owner,12.0,2494.0,100.0,200Nm@ 1200-3600rpm,7.0,3
75,Toyota Fortuner 4x4 MT,2015.0,170000.0,78000.0,Diesel,Individual,Manual,Second Owner,12.0,2982.0,168.0,343Nm@ 1400-3400rpm,7.0,3
80,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016.0,120000.0,140000.0,Diesel,Individual,Manual,First Owner,12.0,2494.0,100.0,200Nm@ 1200-3600rpm,8.0,3
105,Mahindra Scorpio VLX AT AIRBAG BSIV,2014.0,62500.0,70000.0,Diesel,Individual,Automatic,Second Owner,11.0,2179.0,120.0,290Nm@ 1800-2800rpm,8.0,3
144,Toyota Corolla Altis 1.8 G CVT,2013.0,62500.0,39000.0,Petrol,Dealer,Automatic,First Owner,14.0,1798.0,138.0,173Nm@ 4000rpm,5.0,3
149,BMW 5 Series 523i,2010.0,97500.0,72200.0,Petrol,Dealer,Automatic,Second Owner,10.0,2497.0,150.0,250 Nm at 2750 rpm,5.0,3
163,Toyota Innova Crysta 2.8 ZX AT BSIV,2016.0,152500.0,42163.0,Diesel,Dealer,Automatic,Second Owner,11.0,2755.0,171.0,360Nm@ 1200-3400rpm,7.0,3
168,Toyota Camry W4 (AT),2009.0,45000.0,71000.0,Petrol,Dealer,Automatic,First Owner,12.0,2362.0,164.0,224Nm@ 4000rpm,5.0,3
187,Toyota Fortuner 4x2 Manual,2014.0,175000.0,30000.0,Diesel,Individual,Manual,Second Owner,13.0,2982.0,168.0,343Nm@ 1400-3400rpm,7.0,3
219,Tata Safari Storme EX,2017.0,80000.0,60000.0,Diesel,Individual,Manual,First Owner,14.0,2179.0,147.0,320Nm@ 1500-3000rpm,7.0,3
233,Mahindra Ssangyong Rexton RX5,2013.0,90000.0,70000.0,Diesel,Individual,Manual,First Owner,12.0,2696.0,162.0,340Nm@ 1800-3250rpm,7.0,3
239,Mahindra XUV500 W4,2015.0,65000.0,125000.0,Diesel,Individual,Manual,First Owner,15.0,2179.0,140.0,330Nm@ 1600-2800rpm,7.0,3
243,Mahindra XUV500 W8 2WD,2012.0,53500.0,120000.0,Diesel,Individual,Manual,First Owner,15.0,2179.0,140.0,330Nm@ 1600-2800rpm,7.0,3
244,Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013.0,70000.0,70000.0,Diesel,Individual,Manual,First Owner,12.0,2494.0,100.0,200Nm@ 1400-3400rpm,7.0,3
265,Toyota Fortuner 3.0 Diesel,2011.0,115000.0,181000.0,Diesel,Individual,Manual,Second Owner,11.0,2982.0,171.0,343Nm@ 1400-3400rpm,7.0,3
