,name,year,price,kms,fuel,seller_type,transmission,owner,mileage,engine_cc,horsepower,torque,seats,cluster
108,Volkswagen Passat 1.8 TSI MT,2010.0,70000.0,114000.0,Petrol,Individual,Manual,First Owner,14.0,1798.0,160.0,250Nm@ 1500~4500rpm,5.0,5
114,Toyota Corolla Altis G,2009.0,30000.0,100000.0,Petrol,Individual,Manual,Second Owner,14.0,1798.0,138.0,173Nm@ 4000rpm,5.0,5
144,Toyota Corolla Altis 1.8 G CVT,2013.0,62500.0,39000.0,Petrol,Dealer,Automatic,First Owner,14.0,1798.0,138.0,173Nm@ 4000rpm,5.0,5
149,BMW 5 Series 523i,2010.0,97500.0,72200.0,Petrol,Dealer,Automatic,Second Owner,10.0,2497.0,150.0,250 Nm at 2750 rpm,5.0,5
153,Volkswagen Vento Petrol Highline,2011.0,37500.0,49000.0,Petrol,Individual,Manual,First Owner,15.0,1598.0,103.0,153Nm@ 3800rpm,5.0,5
154,Hyundai Elantra SX,2012.0,55000.0,95000.0,Petrol,Individual,Manual,First Owner,16.0,1797.0,147.0,177.5Nm@ 4700rpm,5.0,5
168,Toyota Camry W4 (AT),2009.0,45000.0,71000.0,Petrol,Dealer,Automatic,First Owner,12.0,2362.0,164.0,224Nm@ 4000rpm,5.0,5
184,Honda City 1.5 EXI,2005.0,10000.0,120000.0,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,13.1kgm@ 4600rpm,5.0,5
190,Honda City 1.5 S MT,2009.0,34500.0,47000.0,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,146Nm at 4800 rpm,5.0,5
193,Hyundai Verna Transform SX VTVT,2010.0,32000.0,100000.0,Petrol,Individual,Manual,Third Owner,16.0,1599.0,103.0,14.9 KGM at 3000 RPM,5.0,5
216,Toyota Corolla Altis 1.8 VL AT,2012.0,55000.0,100000.0,Petrol,Individual,Automatic,First Owner,14.0,1794.0,138.0,173Nm@ 4000rpm,5.0,5
361,Hyundai Elantra SX AT,2013.0,69000.0,68000.0,Petrol,Dealer,Automatic,First Owner,14.0,1797.0,147.0,177.5Nm@ 4700rpm,5.0,5
391,Honda CR-V 2.4L 4WD AT,2009.0,50000.0,120000.0,Petrol,Individual,Automatic,Second Owner,11.0,2354.0,158.0,218Nm@ 4200rpm,5.0,5
474,Hyundai Verna Transform CRDi VGT SX ABS,2010.0,26000.0,110000.0,Diesel,Individual,Manual,Second Owner,16.0,1493.0,110.0,24 KGM at 1900-2750 RPM,5.0,5
499,Honda Civic 1.8 V AT,2007.0,35000.0,90000.0,Petrol,Individual,Automatic,First Owner,12.0,1799.0,130.0,172Nm@ 4300rpm,5.0,5
506,Tata New Safari DICOR 2.2 VX 4x2,2009.0,25000.0,146000.0,Diesel,Individual,Manual,Second Owner,13.0,2179.0,138.0,320Nm@ 1700-2700rpm,7.0,5
628,Honda Accord V6 AT,2004.0,27500.0,100000.0,Petrol,Individual,Automatic,Second Owner,9.0,2997.0,218.0,196Nm@ 5000rpm,5.0,5
715,Mahindra Scorpio M2DI,2011.0,42000.0,100000.0,Diesel,Individual,Manual,Second Owner,13.0,2179.0,115.0,277.5Nm@ 1700-2200rpm,5.0,5
