,name,year,price,kms,fuel,seller_type,transmission,owner,mileage,engine_cc,horsepower,torque,seats,cluster
0,Maruti Swift Dzire VDI,2014.0,45000.0,145500.0,Diesel,Individual,Manual,First Owner,23.0,1248.0,74.0,190Nm@ 2000rpm,5.0,2
1,Skoda Rapid 1.5 TDI Ambition,2014.0,37000.0,120000.0,Diesel,Individual,Manual,Second Owner,21.0,1498.0,103.0,250Nm@ 1500-2500rpm,5.0,2
3,Hyundai i20 Sportz Diesel,2010.0,22500.0,127000.0,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,22.4 kgm at 1750-2750rpm,5.0,2
8,Toyota Etios VXD,2011.0,35000.0,90000.0,Diesel,Individual,Manual,First Owner,23.0,1364.0,67.0,170Nm@ 1800-2400rpm,5.0,2
9,Ford Figo Diesel Celebration Edition,2013.0,20000.0,169000.0,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,160Nm@ 2000rpm,5.0,2
10,Renault Duster 110PS Diesel RxL,2014.0,50000.0,68000.0,Diesel,Individual,Manual,Second Owner,19.0,1461.0,108.0,248Nm@ 2250rpm,5.0,2
12,Maruti Swift Dzire VDi,2009.0,28000.0,140000.0,Diesel,Individual,Manual,Second Owner,19.0,1248.0,73.0,190Nm@ 2000rpm,5.0,2
14,Maruti Wagon R LXI Minor,2009.0,18000.0,90000.0,Petrol,Individual,Manual,Second Owner,18.0,1061.0,67.0,84Nm@ 3500rpm,5.0,2
17,Hyundai i20 1.4 CRDi Asta,2012.0,50000.0,53000.0,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,22.4 kgm at 1750-2750rpm,5.0,2
20,Mahindra Verito 1.5 D4 BSIII,2011.0,17400.0,100000.0,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.0,160Nm@ 2000rpm,5.0,2
22,Maruti Swift Dzire ZDI,2015.0,52500.0,40000.0,Diesel,Individual,Manual,First Owner,26.0,1248.0,74.0,190Nm@ 2000rpm,5.0,2
23,Maruti SX4 ZDI,2012.0,60000.0,72000.0,Diesel,Individual,Manual,First Owner,21.0,1248.0,88.0,200Nm@ 1750rpm,5.0,2
26,Maruti Alto 800 LXI,2017.0,27500.0,28000.0,Petrol,Individual,Manual,First Owner,24.0,796.0,47.0,69Nm@ 3500rpm,5.0,2
27,Chevrolet Enjoy TCDi LTZ 7 Seater,2013.0,30000.0,70000.0,Diesel,Individual,Manual,First Owner,18.0,1248.0,73.0,172.5Nm@ 1750rpm,7.0,2
28,Maruti Wagon R LXI Minor,2009.0,22000.0,120000.0,Petrol,Individual,Manual,First Owner,18.0,1061.0,67.0,84Nm@ 3500rpm,5.0,2
29,Maruti Omni E MPI STD BS IV,2018.0,25499.9,25000.0,Petrol,Individual,Manual,First Owner,16.0,796.0,34.0,59Nm@ 2500rpm,8.0,2
32,Maruti Omni 8 Seater BSIV,2012.0,15000.0,35000.0,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,6.1kgm@ 3000rpm,5.0,2
35,Maruti Alto 800 CNG LXI Optional,2019.0,33000.0,10000.0,CNG,Individual,Manual,Second Owner,33.0,796.0,40.0,60Nm@ 3500rpm,4.0,2
36,Maruti Alto K10 VXI Airbag,2019.0,36600.0,15000.0,Petrol,Individual,Manual,First Owner,23.0,998.0,67.0,90Nm@ 3500rpm,5.0,2
38,Datsun GO D,2016.0,15000.0,42000.0,Petrol,Individual,Manual,First Owner,20.0,1198.0,67.0,104Nm@ 4000rpm,5.0,2
43,Honda City V MT,2013.0,42500.0,86300.0,Petrol,Dealer,Manual,First Owner,16.0,1497.0,116.0,146Nm@ 4800rpm,5.0,2
46,Maruti Alto K10 VXI,2018.0,39000.0,10300.0,Petrol,Dealer,Manual,First Owner,23.0,998.0,67.0,90Nm@ 3500rpm,5.0,2
61,Tata Manza ELAN Quadrajet BS IV,2011.0,26500.0,120000.0,Diesel,Individual,Manual,First Owner,21.0,1248.0,88.0,200Nm@ 1750-3000rpm,5.0,2
62,Hyundai i10 Magna,2011.0,19000.0,110000.0,Petrol,Individual,Manual,Third Owner,20.0,1197.0,78.0,111.7Nm@ 4000rpm,5.0,2
63,Hyundai i20 Asta 1.4 CRDi,2013.0,42500.0,60000.0,Diesel,Individual,Manual,First Owner,21.0,1396.0,88.0,219.6Nm@ 1500-2750rpm,5.0,2
64,Maruti Swift Dzire ZDI,2015.0,63000.0,147000.0,Diesel,Individual,Manual,Second Owner,26.0,1248.0,74.0,190Nm@ 2000rpm,5.0,2
69,Maruti Wagon R AMT VXI,2018.0,44800.0,30000.0,Petrol,Individual,Automatic,First Owner,20.0,998.0,67.0,90Nm@ 3500rpm,5.0,2
73,Hyundai i10 Magna,2011.0,23500.0,60000.0,Petrol,Individual,Manual,Second Owner,20.0,1197.0,78.0,111.7Nm@ 4000rpm,5.0,2
76,Maruti Swift Star VDI,2013.0,45000.0,120000.0,Diesel,Individual,Manual,Second Owner,22.0,1248.0,74.0,190Nm@ 2000rpm,5.0,2
77,Maruti Ertiga ZXI,2012.0,45000.0,120000.0,Petrol,Individual,Manual,Second Owner,16.0,1373.0,93.0,130Nm@ 4000rpm,7.0,2
79,Volkswagen Vento Diesel Highline,2013.0,45000.0,170000.0,Diesel,Individual,Manual,First Owner,20.0,1598.0,103.0,250Nm@ 1500-2500rpm,5.0,2
83,Maruti Celerio ZXI MT BSIV,2017.0,48499.9,10000.0,Petrol,Dealer,Manual,First Owner,23.0,998.0,67.0,90Nm@ 3500rpm,5.0,2
84,Datsun GO A Petrol,2016.0,27500.0,49000.0,Petrol,Dealer,Manual,First Owner,19.0,1198.0,67.0,104Nm@ 4000rpm,5.0,2
