,name,year,price,kms,fuel,seller_type,transmission,owner,mileage,engine_cc,horsepower,torque,seats,cluster
1,Skoda Rapid 1.5 TDI Ambition,2014.0,37000.0,120000.0,Diesel,Individual,Manual,Second Owner,21.0,1498.0,103.0,250Nm@ 1500-2500rpm,5.0,2
3,Hyundai i20 Sportz Diesel,2010.0,22500.0,127000.0,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,22.4 kgm at 1750-2750rpm,5.0,2
8,Toyota Etios VXD,2011.0,35000.0,90000.0,Diesel,Individual,Manual,First Owner,23.0,1364.0,67.0,170Nm@ 1800-2400rpm,5.0,2
9,Ford Figo Diesel Celebration Edition,2013.0,20000.0,169000.0,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,160Nm@ 2000rpm,5.0,2
10,Renault Duster 110PS Diesel RxL,2014.0,50000.0,68000.0,Diesel,Individual,Manual,Second Owner,19.0,1461.0,108.0,248Nm@ 2250rpm,5.0,2
12,Maruti Swift Dzire VDi,2009.0,28000.0,140000.0,Diesel,Individual,Manual,Second Owner,19.0,1248.0,73.0,190Nm@ 2000rpm,5.0,2
14,Maruti Wagon R LXI Minor,2009.0,18000.0,90000.0,Petrol,Individual,Manual,Second Owner,18.0,1061.0,67.0,84Nm@ 3500rpm,5.0,2
17,Hyundai i20 1.4 CRDi Asta,2012.0,50000.0,53000.0,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,22.4 kgm at 1750-2750rpm,5.0,2
20,Mahindra Verito 1.5 D4 BSIII,2011.0,17400.0,100000.0,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.0,160Nm@ 2000rpm,5.0,2
23,Maruti SX4 ZDI,2012.0,60000.0,72000.0,Diesel,Individual,Manual,First Owner,21.0,1248.0,88.0,200Nm@ 1750rpm,5.0,2
27,Chevrolet Enjoy TCDi LTZ 7 Seater,2013.0,30000.0,70000.0,Diesel,Individual,Manual,First Owner,18.0,1248.0,73.0,172.5Nm@ 1750rpm,7.0,2
28,Maruti Wagon R LXI Minor,2009.0,22000.0,120000.0,Petrol,Individual,Manual,First Owner,18.0,1061.0,67.0,84Nm@ 3500rpm,5.0,2
32,Maruti Omni 8 Seater BSIV,2012.0,15000.0,35000.0,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,6.1kgm@ 3000rpm,5.0,2
37,Hyundai Verna VTVT 1.6 SX Option,2019.0,114900.0,5000.0,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.0,151Nm@ 4850rpm,5.0,2
40,Maruti 800 Std,2012.0,15000.0,76000.0,Petrol,Individual,Manual,First Owner,16.0,796.0,37.0,59Nm@ 2500rpm,4.0,2
42,Honda City i VTEC VX,2018.0,92500.0,28900.0,Petrol,Dealer,Manual,First Owner,17.0,1497.0,117.0,145Nm@ 4600rpm,5.0,2
43,Honda City V MT,2013.0,42500.0,86300.0,Petrol,Dealer,Manual,First Owner,16.0,1497.0,116.0,146Nm@ 4800rpm,5.0,2
50,Honda Amaze S Diesel,2015.0,42500.0,49800.0,Diesel,Dealer,Manual,First Owner,24.0,1498.0,98.0,200Nm@ 1750rpm,5.0,2
52,Honda City i DTEC S,2015.0,60000.0,54700.0,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.0,200Nm@ 1750rpm,5.0,2
53,Maruti Ciaz Zeta,2018.0,85000.0,64000.0,Petrol,Dealer,Manual,First Owner,20.0,1462.0,103.0,138Nm@ 4400rpm,5.0,2
54,Honda Jazz VX Diesel,2015.0,52500.0,63000.0,Diesel,Dealer,Manual,First Owner,27.0,1498.0,98.0,200Nm@ 1750rpm,5.0,2
61,Tata Manza ELAN Quadrajet BS IV,2011.0,26500.0,120000.0,Diesel,Individual,Manual,First Owner,21.0,1248.0,88.0,200Nm@ 1750-3000rpm,5.0,2
62,Hyundai i10 Magna,2011.0,19000.0,110000.0,Petrol,Individual,Manual,Third Owner,20.0,1197.0,78.0,111.7Nm@ 4000rpm,5.0,2
63,Hyundai i20 Asta 1.4 CRDi,2013.0,42500.0,60000.0,Diesel,Individual,Manual,First Owner,21.0,1396.0,88.0,219.6Nm@ 1500-2750rpm,5.0,2
67,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016.0,54000.0,40000.0,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.0,250Nm@ 1500-3000rpm,5.0,2
68,Honda City i DTEC VX,2015.0,63000.0,135000.0,Diesel,Individual,Manual,First Owner,25.0,1498.0,98.0,200Nm@ 1750rpm,5.0,2
70,Volkswagen Ameo 1.5 TDI Comfortline,2017.0,50000.0,80000.0,Diesel,Individual,Manual,First Owner,21.0,1498.0,108.0,250Nm@ 1500-3000rpm,5.0,2
73,Hyundai i10 Magna,2011.0,23500.0,60000.0,Petrol,Individual,Manual,Second Owner,20.0,1197.0,78.0,111.7Nm@ 4000rpm,5.0,2
76,Maruti Swift Star VDI,2013.0,45000.0,120000.0,Diesel,Individual,Manual,Second Owner,22.0,1248.0,74.0,190Nm@ 2000rpm,5.0,2
