,name,year,price,kms,fuel,seller_type,transmission,owner,mileage,engine_cc,horsepower,torque,seats,cluster
7,Maruti 800 DX BSII,2001.0,4500.0,5000.0,Petrol,Individual,Manual,Second Owner,16.0,796.0,37.0,59Nm@ 2500rpm,4.0,5
11,Maruti Zen LX,2005.0,9200.0,100000.0,Petrol,Individual,Manual,Second Owner,17.0,993.0,60.0,78Nm@ 4500rpm,5.0,5
18,Maruti Alto LX,2002.0,15000.0,80000.0,Petrol,Individual,Manual,Second Owner,19.0,796.0,46.0,62Nm@ 3000rpm,5.0,5
98,Maruti Alto LX BSIII,2008.0,12000.0,68000.0,Petrol,Dealer,Manual,Third Owner,19.0,796.0,46.0,62Nm@ 3000rpm,5.0,5
126,Maruti Alto LXi,2008.0,10500.0,65000.0,Petrol,Individual,Manual,Fourth & Above Owner,19.0,796.0,46.0,62Nm@ 3000rpm,5.0,5
177,Maruti 800 Std,1999.0,4000.0,40000.0,Petrol,Individual,Manual,Second Owner,16.0,796.0,37.0,59Nm@ 2500rpm,4.0,5
184,Honda City 1.5 EXI,2005.0,10000.0,120000.0,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,13.1kgm@ 4600rpm,5.0,5
186,Daewoo Matiz SD,2000.0,10000.0,60000.0,Petrol,Individual,Manual,First Owner,18.0,796.0,53.0,71Nm@ 3500rpm,5.0,5
191,Maruti Zen LXI,2005.0,8500.0,90000.0,Petrol,Individual,Manual,First Owner,17.0,993.0,60.0,78Nm@ 4500rpm,5.0,5
195,Hyundai Getz GLS,2005.0,6500.0,86000.0,Petrol,Individual,Manual,First Owner,15.0,1341.0,83.0,115Nm@ 3200rpm,5.0,5
284,Maruti Alto LX,2005.0,11000.0,45000.0,Petrol,Individual,Manual,Second Owner,19.0,796.0,46.0,62Nm@ 3000rpm,5.0,5
302,Maruti Alto LXI,2005.0,9000.0,99361.0,Petrol,Individual,Manual,Second Owner,19.0,796.0,46.0,62Nm@ 3000rpm,5.0,5
310,Maruti 800 Std,2006.0,8100.0,80000.0,Petrol,Individual,Manual,First Owner,16.0,796.0,37.0,59Nm@ 2500rpm,4.0,5
328,Maruti Zen LXI,2003.0,6500.0,60000.0,Petrol,Individual,Manual,Fourth & Above Owner,17.0,993.0,60.0,78Nm@ 4500rpm,5.0,5
333,Maruti Zen LXI,2002.0,6000.0,100000.0,Petrol,Individual,Manual,Fourth & Above Owner,17.0,993.0,60.0,78Nm@ 4500rpm,5.0,5
335,Maruti Zen Estilo LXI BSIII,2007.0,8500.0,80000.0,Petrol,Individual,Manual,Second Owner,18.0,998.0,67.0,90Nm@ 3500rpm,5.0,5
337,Maruti Alto LX,2005.0,8500.0,80000.0,Petrol,Individual,Manual,Fourth & Above Owner,19.0,796.0,46.0,62Nm@ 3000rpm,5.0,5
343,Maruti Wagon R LXI,2005.0,8900.0,90000.0,Petrol,Individual,Manual,Second Owner,18.0,998.0,67.0,90Nm@ 3500rpm,5.0,5
365,Maruti Wagon R LXI,2005.0,6500.0,35000.0,Petrol,Individual,Manual,First Owner,18.0,998.0,67.0,90Nm@ 3500rpm,5.0,5
437,Maruti 800 AC BSIII,2009.0,13000.0,40000.0,Petrol,Individual,Manual,First Owner,16.0,796.0,37.0,59Nm@ 2500rpm,4.0,5
441,Maruti 800 AC BSIII,2004.0,8100.0,80000.0,Petrol,Individual,Manual,Second Owner,16.0,796.0,37.0,59Nm@ 2500rpm,4.0,5
444,Maruti 800 Std,2010.0,12000.0,70000.0,Petrol,Individual,Manual,Second Owner,16.0,796.0,37.0,59Nm@ 2500rpm,4.0,5
536,Hyundai Getz GLX,2007.0,12000.0,110000.0,Petrol,Individual,Manual,Second Owner,15.0,1341.0,83.0,115Nm@ 3200rpm,5.0,5
542,Maruti Alto LXI,2002.0,14000.0,50000.0,Petrol,Individual,Manual,Second Owner,19.0,796.0,46.0,62Nm@ 3000rpm,5.0,5
572,Maruti Wagon R LXI,2004.0,12000.0,120000.0,Petrol,Individual,Manual,Third Owner,18.0,998.0,67.0,90Nm@ 3500rpm,5.0,5
759,Maruti Alto LX,2005.0,8500.0,150000.0,Petrol,Individual,Manual,Second Owner,19.0,796.0,46.0,62Nm@ 3000rpm,5.0,5
760,Tata Indica V2 DL BSIII,2006.0,6750.0,110000.0,Diesel,Individual,Manual,Fourth & Above Owner,17.0,1396.0,52.0,85Nm@ 2500rpm,5.0,5
808,Maruti 800 AC,2000.0,8000.0,70000.0,Petrol,Individual,Manual,Fourth & Above Owner,16.0,796.0,37.0,59Nm@ 2500rpm,4.0,5
817,Maruti Alto Std,2008.0,9500.0,120000.0,Petrol,Individual,Manual,First Owner,19.0,796.0,46.0,62Nm@ 3000rpm,5.0,5
901,Maruti 800 Std,2002.0,4000.0,80000.0,Petrol,Individual,Manual,Third Owner,16.0,796.0,37.0,59Nm@ 2500rpm,4.0,5
938,Maruti 800 AC,2007.0,9000.0,90000.0,Petrol,Individual,Manual,First Owner,16.0,796.0,37.0,59Nm@ 2500rpm,4.0,5
942,Maruti Zen LXI,2006.0,12000.0,141000.0,Petrol,Individual,Manual,Second Owner,17.0,993.0,60.0,78Nm@ 4500rpm,5.0,5
951,Maruti Zen D,2003.0,8500.0,120000.0,Diesel,Individual,Manual,Third Owner,20.0,1527.0,58.0,789Nm@ 2250rpm,5.0,5
958,Maruti Zen Estilo 1.1 LXI BSIII,2007.0,9000.0,60000.0,Petrol,Individual,Manual,Second Owner,18.0,1061.0,64.0,84Nm@ 3500rpm,5.0,5
975,Hyundai Getz GLS,2005.0,6500.0,85000.0,Petrol,Individual,Manual,First Owner,15.0,1341.0,83.0,115Nm@ 3200rpm,5.0,5
999,Maruti 800 AC,1999.0,5500.0,60000.0,Petrol,Individual,Manual,Second Owner,16.0,796.0,37.0,59Nm@ 2500rpm,4.0,5
